run;coeff;rss;rmse;max
1;-1.771;65.796;1.299;976
2;-1.722;61.379;1.344;973
3;-1.939;76.058;1.330;979
4;-1.895;54.348;1.212;976
5;-1.610;62.145;1.333;968
