run;coeff;rss;rmse;max
1;-0.736;769.194;1.152;7190
2;-0.748;910.198;1.142;7256
3;-0.718;581.928;1.228;7159
4;-0.756;948.553;1.126;7295
5;-0.837;1224.504;1.024;7350
6;-0.746;851.466;1.169;7721
7;-0.736;769.795;1.195;7344
8;-0.866;1215.882;1.031;7599
9;-0.825;1146.665;1.071;7207
10;-0.785;973.010;1.120;7376
