run;coeff;rss;rmse;max-avalanche
1;-3.878;16.640;1.020;33
2;-3.564;12.362;0.829;35
3;-3.584;14.566;0.926;46
4;-4.033;4.368;0.522;25
5;-3.286;19.429;1.069;48
